ym,category,reason,declined
2001-12,ALL,Defendant Unavailable,261
2002-01,ALL,Defendant Unavailable,328
2002-02,ALL,Defendant Unavailable,280
2002-03,ALL,Defendant Unavailable,372
2002-04,ALL,Defendant Unavailable,307
2002-05,ALL,Defendant Unavailable,426
2002-06,ALL,Defendant Unavailable,237
2002-07,ALL,Defendant Unavailable,353
2002-08,ALL,Defendant Unavailable,367
2002-09,ALL,Defendant Unavailable,1198
2002-10,ALL,Defendant Unavailable,681
2002-11,ALL,Defendant Unavailable,262
2002-12,ALL,Defendant Unavailable,385
2003-01,ALL,Defendant Unavailable,601
2003-02,ALL,Defendant Unavailable,302
2003-03,ALL,Defendant Unavailable,385
2003-04,ALL,Defendant Unavailable,413
2003-05,ALL,Defendant Unavailable,315
2003-06,ALL,Defendant Unavailable,332
2003-07,ALL,Defendant Unavailable,283
2003-08,ALL,Defendant Unavailable,304
2003-09,ALL,Defendant Unavailable,516
2003-10,ALL,Defendant Unavailable,303
2003-11,ALL,Defendant Unavailable,259
2003-12,ALL,Defendant Unavailable,250
2004-01,ALL,Defendant Unavailable,303
2004-02,ALL,Defendant Unavailable,308
2004-03,ALL,Defendant Unavailable,494
2004-04,ALL,Defendant Unavailable,295
2004-05,ALL,Defendant Unavailable,314
2004-06,ALL,Defendant Unavailable,331
2004-07,ALL,Defendant Unavailable,253
2004-08,ALL,Defendant Unavailable,370
2004-09,ALL,Defendant Unavailable,479
2004-10,ALL,Defendant Unavailable,280
2004-11,ALL,Defendant Unavailable,251
2004-12,ALL,Defendant Unavailable,252
2005-01,ALL,Defendant Unavailable,356
2005-02,ALL,Defendant Unavailable,292
2005-03,ALL,Defendant Unavailable,494
2005-04,ALL,Defendant Unavailable,289
2005-05,ALL,Defendant Unavailable,299
2005-06,ALL,Defendant Unavailable,273
2005-07,ALL,Defendant Unavailable,258
2005-08,ALL,Defendant Unavailable,284
2005-09,ALL,Defendant Unavailable,396
2005-10,ALL,Defendant Unavailable,325
2005-11,ALL,Defendant Unavailable,228
2005-12,ALL,Defendant Unavailable,243
2006-01,ALL,Defendant Unavailable,302
2006-02,ALL,Defendant Unavailable,380
2006-03,ALL,Defendant Unavailable,517
2006-04,ALL,Defendant Unavailable,257
2006-05,ALL,Defendant Unavailable,283
2006-06,ALL,Defendant Unavailable,278
2006-07,ALL,Defendant Unavailable,293
2006-08,ALL,Defendant Unavailable,286
2006-09,ALL,Defendant Unavailable,411
2006-10,ALL,Defendant Unavailable,291
2006-11,ALL,Defendant Unavailable,195
2006-12,ALL,Defendant Unavailable,212
2007-01,ALL,Defendant Unavailable,263
2007-02,ALL,Defendant Unavailable,322
2007-03,ALL,Defendant Unavailable,414
2007-04,ALL,Defendant Unavailable,302
2007-05,ALL,Defendant Unavailable,342
2007-06,ALL,Defendant Unavailable,307
2007-07,ALL,Defendant Unavailable,270
2007-08,ALL,Defendant Unavailable,278
2007-09,ALL,Defendant Unavailable,361
2007-10,ALL,Defendant Unavailable,311
2007-11,ALL,Defendant Unavailable,193
2007-12,ALL,Defendant Unavailable,206
2008-01,ALL,Defendant Unavailable,271
2008-02,ALL,Defendant Unavailable,255
2008-03,ALL,Defendant Unavailable,423
2008-04,ALL,Defendant Unavailable,303
2008-05,ALL,Defendant Unavailable,234
2008-06,ALL,Defendant Unavailable,250
2008-07,ALL,Defendant Unavailable,250
2008-08,ALL,Defendant Unavailable,222
2008-09,ALL,Defendant Unavailable,383
2008-10,ALL,Defendant Unavailable,266
2008-11,ALL,Defendant Unavailable,175
2008-12,ALL,Defendant Unavailable,207
2009-01,ALL,Defendant Unavailable,232
2009-02,ALL,Defendant Unavailable,290
2009-03,ALL,Defendant Unavailable,459
2009-04,ALL,Defendant Unavailable,316
2009-05,ALL,Defendant Unavailable,229
2009-06,ALL,Defendant Unavailable,255
2009-07,ALL,Defendant Unavailable,293
2009-08,ALL,Defendant Unavailable,307
2009-09,ALL,Defendant Unavailable,513
2009-10,ALL,Defendant Unavailable,255
2009-11,ALL,Defendant Unavailable,198
2009-12,ALL,Defendant Unavailable,210
2010-01,ALL,Defendant Unavailable,231
2010-02,ALL,Defendant Unavailable,269
2010-03,ALL,Defendant Unavailable,567
2010-04,ALL,Defendant Unavailable,322
2010-05,ALL,Defendant Unavailable,222
2010-06,ALL,Defendant Unavailable,233
2010-07,ALL,Defendant Unavailable,289
2010-08,ALL,Defendant Unavailable,288
2010-09,ALL,Defendant Unavailable,496
2010-10,ALL,Defendant Unavailable,219
2010-11,ALL,Defendant Unavailable,219
2010-12,ALL,Defendant Unavailable,209
2011-01,ALL,Defendant Unavailable,269
2011-02,ALL,Defendant Unavailable,293
2011-03,ALL,Defendant Unavailable,594
2011-04,ALL,Defendant Unavailable,281
2011-05,ALL,Defendant Unavailable,208
2011-06,ALL,Defendant Unavailable,237
2011-07,ALL,Defendant Unavailable,209
2011-08,ALL,Defendant Unavailable,312
2011-09,ALL,Defendant Unavailable,439
2011-10,ALL,Defendant Unavailable,232
2011-11,ALL,Defendant Unavailable,195
